,title,dates,place,description
10,🎹 Maratona musicale per GAZA,"26.06.2025 | 20:00
","Lo Stabilimento, v.le Unità d'Italia 2, Mola di Bari","
🤲🏼 Si riuniscono artistə di varie culture per raccogliere un contributo concreto: un'iniziativa che già in passato si è impegnata a ricostruire una scuola musicale a Gaza.

Puoi partecipare alla raccolta fondi in occasione di questa maratona di progetti di musica dal mondo come il M° Sagheer Khan, Cantiere Comune Mediterraneo, Miguel Zepe Dìaz, El Barrio Libertad e molti altri! 🎻

Mangeremo insieme una cucina palestinese e tunisina.
Tutto il raccolto sarà devoluto a Gaza!

☎️ prenotazione obbligatoria: 3471565119"
11,🎭 REATO DI CABARET ,"26.06.2025 | 21:00
",LoStabile Guesthouse & Coworking,"
LA STAND-UP COMEDY D'ESTATE A BARI?! 👀
Ci vediamo a @lostabile.bari per una serata davvero folle.

Reato di Cabaret è un format dove il pubblico è parte dello spettacolo.
Improv, battute, bigliettini scritti dal pubblico.

Ingresso 10€ con consumazione inclusa.

Line-Up:
@pipporicciardi GUEST
@cartesiogiacomo
@marino_cassanelli
@kitestrauva

@lostabile.bari - Via De Bernardis, 23 - Bari
🗓️ 26 Giugno - 21:00
🎟️ 10€ (Consumazione inclusa
📞 Prenota al 329 022 1142 o alla mail lostabile.bari@gmail.com"
12,🎭 COMICA FUCINA - open mic estivo,"26.06.2025 | 21:00
",MAT laboratorio urbano,"
Penultimo Open Mic della Stagione al MAT 🥲

Venerdì 27 Giugno il nostro MC Marino Cassanelli guiderà i nostri comici che proveranno i loro pezzi 👀👀👀

MAT laboratorio urbano
🎟️nessuna prenotazione, ingresso gratuito
🕘 27 Giugno, 21:00"
13,🎥 Festa del Cinema in Libertà 2025,"24.06.2025 | 20:30 - 11.09.2025 | 23:00
",Expostmoderno,"
🎉𝐑𝐈𝐂𝐎𝐌𝐈𝐍𝐂𝐈𝐀 𝐋𝐀 𝐅𝐄𝐒𝐓𝐀 𝐃𝐄𝐋 𝐂𝐈𝐍𝐄𝐌𝐀 𝐈𝐍 𝐋𝐈𝐁𝐄𝐑𝐓𝐀' 𝟐𝟎𝟐𝟓 🎉🎬
Dal 24 giugno all'11 settembre, L’Armata Brancaleone riapre le porte dell’Arena ExpostModerno per dare il via alla nuova edizione della Festa del Cinema in Libertà: una rassegna partecipata, aperta, condivisa, che vi accompagnerà per tutta l'estate con proiezioni, incontri e ospiti speciali.

🌟 𝐈𝐧 𝐩𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐚:
• Lungometraggi e cortometraggi per tutte le età
• Incontri ravvicinati con registi, autori e autrici
• Spazio ai libri, alle idee, ai racconti delle tante realtà che rendono viva la nostra città.

🐾 L’arena è pet friendly – perché il cinema è più bello se si condivide, anche con i cuccioli!

📚 Durante ogni appuntamento troverete anche banchetti a cura di Spine Bookstore, Libreria 101, Svoltastorie e tante altre realtà del territorio.

🎟️ Ingresso: consigliamo un contributo minimo di 3 euro per sostenere e... [continua a leggere](https://www.apuliacore.org/evento/9834e8c4-fc0a-4c09-9c7a-1a0397f2989c"
14,🎹 MACERIE REBEL BAR ~ Stramonium + Zazone,"20.06.2025 | 21:00
",Le Macerie - Baracche Ribelli,"
Ricomincia una stagione di bar ribelle al fresco degli ulivi nella regione più libera della regione: 

🏴‍☠️ Il REBEL BAR vi aspetta ogni venerdì a partire da questa settimana, con ospiti, amici e contenuti della serata sempre diversi 

📢 Si comincia venerdì 20 giugno con Zazone e Stramonium ai controlli e con la loro eclettica selezione musicale 

Inizio ore 21 🏴‍☠️ Area bar operativa con birrette fresche, snack e cucina 

Vi aspettiamo accaldati 
🇵🇸🇵🇸🇵🇸"
15,✊ Il prezzo che paghiamo,"17.06.2025 | 20:30
",Giardino Mimmo Bucci - Via Don Bosco - rione Libertà,"
Vuoi scoprire chi sono i colpevoli della crisi climatica e perché restano ancora impuniti? Allora non puoi perderti la proiezione del documentario “Il prezzo che paghiamo”, film prodotto da @greenpeace_ita e @recommon, realizzato da @fadacollective.  Dopo la visione ci sarà spazio per un dibattito, perché la crisi climatica (e i responsabili sono un problema che riguarda tutt3.

Con noi:
🔹 Felice Moramarco – @greenpeace_ita - in collegamento
🔹 Eva Pastorelli – @recommon - in collegamento
🔹 Mattia Schepisi – @fridaysforfuture_bari
🎙 Modera Massimiliano Boccone – @greenpeace_bari

📲 Iscrizioni qui: https://www.eventbrite.com/e/il-prezzo-che-paghiamo-tickets-1408416073389"
16,🎭 Stand Apulia al Prisma - stand-up comedy show,"19.06.2025 | 21:00
",Teatro Prisma,"
UN TEATRO IN CENTRO A BARI DOVE SI FA STAND-UP 💥
Giovedì 19 Giugno Stand Apulia al Prisma 👆🏼

PEZZI NUOVI DI ZECCA SOLO PER VOI.
6 COMIC* SUL PALCO: @cartesiogiacomo @marino_cassanelli @ianigrosofia @guidolondino @maristella_losacco @kitestrauva

In Via Dante 243/A, c'è l'aria condizionata e si sta freschi 🥶
E poi? Che situazione figa è il Teatro Prisma?!

📞 Info e Prenotazioni al 339 7032 759 / 328 6070 023
🎟️ Tessera 5€ (vale per tutto l'anno + Contributo 5€
🗓️ Giovedì 19 Giugno, ore 21
 Teatro Prisma, Via Dante 243/A"
17,✊ CORTEO - solidarietà alla Palestina🍉! ,"14.06.2025 | 17:00
",Piazza Umberto I,"
📣 La manifestazione affronterà questioni critiche qui a Bari: dai rapporti tra Comune, Regione e Israele, alle complicità dirette di Uniba e Poliba con aziende israeliane responsabili nel genocidio. Si parlerà della possibilità concreta di opporsi all'occupazione con strumenti quotidiani e non violenti come il boicottaggio; della narrazione mediatica distorta e della mobilitazione internazionale della Global March to Gaza.

🫂 Ci sarà un carrello con acqua e servizio d'ordine per la cura reciproca: puoi rivolgerti a loro per qualunque necessità
🙏 Prima di fare foto / video ricorda di chiedere il consenso alle persone ritratte

🗺 IL PERCORSO:
(concentramento p.zza Umberto
via Nicolai -> via Cairoli -> corso V. Emanuele -> corso Cavour -> via Imbriani -> p.zza Diaz -> Lungomare -> via Dalmazia: Sede Rai"
18,🎹 GELATINI ~ Number Ciù / Live • Distro • DjSet,"14.06.2025 | 21:00 - 04:00
",Le Macerie - Baracche Ribelli,"
A due anni di distanza, ritorna l’evento dedicato all’Avanguardia della musica Local (e non interamente NO GENDER 🥸
(perché, diciamocelo, le etichette non sono utili neanche a trovare il tempo di cottura sulla pasta

🍦SABATO 14 GIUGNO
GELATINI ~ Number Ciù

🌱 Apertura dell’Area Esterna 

LIVE OUTDOOR - Dalle 21

 • RISTOBABY 
 • ONISAIBA
 • WILT/PLACE Full band (NA/BO
 • MANEATERS 

DJ SET INDOOR - A seguire
 • MATTHEW (BO & Bonnie
 • XDXSCHX

Banchetti - Distro - Gelatini - Antifascismo
Area Bar & Food Outdoor 

🍦L’unica serata anti-pop in cui l’attitudine è tutto e la musica anche - come direbbe il sommo “non c’è gusto in Italia ad essere intelligenti!”🍦

In loving Memory of Freak Antoni & Dandy Bestia

🐱 NEL POSTO VIVE UNA COLONIA FELINA - Lascia il cane a casa o tienilo vicino! Respect your local free space"
19,🎭 Stand Apulia feat. Roma Comedy Club - Bari,"17.06.2025 | 21:00
",Arena Airiciclotteri,"
ROMA COMEDY CLUB IN PUGLIA? BAM 💥
3 eventi di Stand-Up Comedy a salire da Ostuni, passando per Bari, per poi finire a Bisceglie 👆🏼

Secondo appuntamento 17 giugno ad Bari presso Tettoia Creativa (arena Airiciclotteri 🏠

🎟️ contributo: 5€, ingresso riservato ai soci
 Strada Massimi – Losacco, 4, 70124 Bari BA
📞 prenota al 3274306071
🕐 21:00

Ti aspettiamo! 🫶🏻✨"
20,🎭 Stand Apulia feat. Roma Comedy Club - Ostuni,"16.06.2025 | 21:00
",Associazione CHE FICO LAB,"
ROMA COMEDY CLUB IN PUGLIA? BAM 💥
3 eventi di Stand-Up Comedy a salire da Ostuni, passando per Bari, per poi finire a Bisceglie 👆🏼

Primo appuntamento 16 giugno ad Ostuni presso Che Fico Lab! 🧪

🎟️ contributo: 3€ ingresso riservato ai soci ENAC/TURISPORT
 viale Francesco Crispi 83, Ostuni
📞 prenota al 3292664049
🕐 21:00

Ti aspettiamo! 🫶🏻✨"
21,🎭 Stand Apulia feat. Roma Comedy Club - Bisceglie,"18.06.2025 | 21:00
",Controcorrente S.O.S.,"
ROMA COMEDY CLUB IN PUGLIA? BAM 💥
3 eventi di Stand-Up Comedy a salire da Ostuni, passando per Bari, per poi finire a Bisceglie 👆🏼

Terzo ed ultimo appuntamento 18 giugno a Bisceglie presso Controcorrente s.o.s ⚠️

🎟️ consumazione obbligatoria 10€
 via Crosta, Biseglie
📞 prenota al 3453384820 - 3482997180
🕐 21:00

NON FARE CHE NON VIENI, OH! 😲"
22,🎭 LA COMICA FUCINA,"13.06.2025 | 20:30
",MAT laboratorio urbano,"
🎤 Questa estate riparte la Stand-Up Comedy al MAT con il formato estivo de “La Comica Fucina”, una collaborazione targata Stand Apulia e MAT Laboratorio Urbano 💥
•
4 appuntamenti, uno ogni due settimane, nel piazzale del MAT.
•
🗓️ 3 Open Mic con gli MC di Stand Apulia!
13 Giugno - MC: Marco Uva ✨ free entry
27 Giugno - MC: Marino Cassanelli ✨ free entry
25 Luglio - MC: Sofia Ianigro + SPECIAL GUEST: Mattia Grossi ✨ free entry
•
🗓️ E il 13 Luglio, UNDERDOGS!
Super Collettiva itinerante con Xhuliano Dule, Angelo Amaro, Serena Bongiovanni, Tiziano La Bella e Antonio Ricatti 🎟 ticket presto disponibili!
•
Sai cosa fare questa estate.
VIENI AL MAT!"
23,🎭 Stand Apulia al Casale Pontrelli - a stand-up comedy show,"12.06.2025 | 21:00
",Casale Pontrelli - Eventi Privati e Ricevimenti,"
LA STAND-UP COMEDY A CAPURSO 💥
Giovedì 12 giugno, la data di “Stand Apulia al Casale”, il nuovo appuntamento firmato @standapulia e @casalepontrelli. PRENOTAZIONI AL LINK IN BIO 👆🏼

Una serata all’insegna di monologhi nuovi di zecca, ironia tagliente e nessuna pietà. Ma tranquilli: ce n’è per tutti. E se vi offendete… vi passerà col secondo bicchiere.

✨ Dove? In campagna, tra ulivi e cicale.
🍷 Con chi? Con amici e una consumazione in mano.

🎟 Ingresso con coperto spettacolo + consumazione obbligatoria: 5€
 Casale Pontrelli – Capurso
🕘 Ore 21:00
📞 Info & prenotazioni: LINK IN BIO o 080 840 7214

Posti limitati, risate assicurate."
24,🎭 Maristella Losacco live - stand-up comedy show,"07.06.2025 | 21:00
",Arena Airiciclotteri,"
MARISTELLA LOSACCO LIVE A BARI 💥
Questo Sabato a @tettoiacreativa presso @cinema_arena_airiciclotteri

Un'ora di Stand-Up Comedy senza filtri, prese in giro e battute al fulmicotone.
La conoscete già, sapete cosa aspettarvi.
E se non la conoscete, VENITE PERCHÉ È UN'ESPERIENZA

Info e Prenotazioni al 327 4306071 Se hai la macchina, hai il parcheggio gratuito. Cosa vuoi di più?!

Arena Airiciclotteri, Via Massimi Losacco - Bari
🚙PARCHEGGIO DISPONIBILE E GRATUITO
🎟️5€ CONTRIBUTO + TESSERA CHE VALE PER TUTTA LA RASSEGNA
🕘Sabato 07 Giugno, Ore 21:00
📞Prenota al 327 4306071"
25,🎭 Le Collettive - stand-up comedy show,"04.06.2025 | 21:00
",Controcorrente S.O.S.,"
🎭 Le Collettive – Secondo Atto
Un altro giro di stand-up dal vivo senza filtri.

Sul palco torna la Collettiva @standapulia con:
🎤 Giacomo Cartesio @cartesiogiacomo
🎤 Maristella Losacco @maristella_losacco
🎤 Sofia Ianigro @ianigrosofia
🎤 Open Mic - 2 slot

⚠️ Ingresso con consumazione minima 10€

📲 Prenota il tuo posto:
345 3384820 – 348 299 7180"
26,"iao 🌼
ultimamente nei commenti sotto i post arrivano sempre più di frequente messaggi da bot scam e per risolvere il problema abbiamo pensato di modificare le impostazioni del canale e permettere solo a chi entra nella chat (Apuliacore Community) di commentare i post... non ci convince molto come opzione, per questo ci chiedevamo - prima di modificare le impostazioni - se qualcun di voi avesse soluzioni alternative per risolvere il problema :)",,,
27,🎹 ARRAGO,"07.06.2025 | 21:30 - 02:30
",Ex Caserma Liberata,"
""Vogliamo che i mortali si incontrino in strade affollate, e che financo facciano risse purché si incontrino davvero""
 
- Morte e pianto rituale. MANIFESTO.

CIGNO

sogni infranti, linee di basso distorte, psichedelia, post-punk corale, anarchia e precariato

GAT OSKEN

misto math, jazz, ambient, gatti e oscenità

XDXSCHX

hyper break latin gabba core set fino a esaurimento scorte

sabato 7 giugno 
ex caserma liberata 
bari"
28,🎹 Experimenta Stand Alone Fest,"13.06.2025 | 20:00 - 15.06.2025 | 23:45
",Castello Normanno-Svevo,"
Quest’anno Stand Alone Complex è davvero onorato di collaborare con Experimenta, storica rassegna pugliese di musiche sperimentali e contaminate provenienti da tutto il mondo, per la quarta edizione dello Stand Alone Fest!
••
Nei giorni 13-14-15 Giugno, nella splendida corte del Castello Normanno-Svevo di Sannicandro di Bari, ospiteremo artisti nazionali e internazionali.
Gli headliners attesi sono 🔥Uzeda, storica band del noise rock italiano, riconosciuta in tutto il mondo, 🔥The Veldt, pionieri dello shoegaze afroamericano, in esclusiva per il Sud Italia, e 🔥Josephine Foster, una delle voci più intense del folk psichedelico americano degli ultimi vent’anni.
Insieme a loro ci saranno Tremours, Manu Louis, a/lpaca, Couchgagzzz, Veronika Voss, Sebastiano Lillo Trio, daffon, animalemagico e Japanorama."
29,🎹 Compleanno di Fuori Binaria 🎂,"30.05.2025 | 19:30
",Fuori Binaria,"
In occasione del primo compleanno di Fuori Binaria, progetto parte della rete Luoghi Comuni, concerto e banchette di autoproduzioni nel giardino! 🌱

Suoneranno le collettive TEVAS & LAS PETRONAS 🎶

Start ore 19:30 💜"
30,✊ 🇵🇸 talk about 𝐏𝐀𝐋𝐄𝐒𝐓𝐈𝐍𝐄,"29.05.2025 | 18:30 - 20:00
",Politecnico di Bari,"
In un tempo in cui molte narrazioni semplificano o distorcono la complessità dei conflitti globali, sentiamo il bisogno di costruire spazi di confronto autentico e consapevole. Parlare di Palestina oggi significa dare ascolto a una storia di resistenza, di identità e di autodeterminazione, troppo spesso marginalizzata nel discorso pubblico. È un modo per interrogarci sul nostro ruolo, sulle responsabilità collettive e sulle connessioni tra le lotte per la giustizia, qui e altrove.

📣 Parliamo di Palestina non come una realtà lontana, ma come parte di un presente globale che ci riguarda da vicino, perché intreccia questioni di diritti, libertà e dignità umana.

🗣️ Interverranno:
TAYSIR HASAN, membro della Comunità Palestinese di Puglia e Basilicata;
RAFFAELLA BAIOCCHI, specialista in ginecologia e ostetricia, Membro della Medical Division Unit.

Presso il Politecnico di Bari, Aula 10 (secondo piano Corpo MZ."
31,🎭 La Stand-Up Comedy all'Ekoiné,"01.06.2025 | 20:00
",eKoiné Ri-pub,"
ULTIMO EKOINÉ DELL'ANNO 🥲🥲🥲 AAAAAA
Quindi, vi invitiamo tutt* a fare il ballo di fine anno 👀

Con una Line-Up di Comici Resident, Novizi e Ospiti da capogiro, facciamo l'ultima Stand-Up Comedy a @ekoineripub

Ore 20 puntuali. Non devi prenotare, è gratis.
Devi solo bere, il resto lo facciamo noi 👀

Line Up:
@cartesiogiacomo
@ianigrosofia
@guidolondino
@sanfrancesco.maybe
e il padrone di casa @kitestrauva

🎟️Ingresso gratuito, senza prenotazione"
32,🎭 WOW - la stand-up comedy al Nassau,"29.05.2025 | 21:00
",Nassau Pub & Pirates,"
Ultimo Open Mic della Stagione al Nassau 🥲
Non dobbiamo essere tristi perché è finita, sorridiamo perché @kitestrauva sarà l'MC.

Giovedì 29 Maggio riempiamo il Nassau per l'ultima volta quest'anno, che poi l'estate facciamo altre cose 👀👀👀

Universitari, Laureati, Disoccupati, Borghesi e Proletari: diciamo a voi!
VI VOGLIAMO TUTTI A CANTARE MALEDETTA PRIMAVERA (@cartesiogiacomo left the chat un'ultima volta insieme.

Prenota il tuo tavolo al 340 134 9061 

Nassau Pub & Pirates 
🎟️ Devi solo prenotare o venire a farti una birra
🕘 29 Maggio, 21:00"
33,🎭 Stand Apulia feat. Tiziano La Bella,"28.05.2025 | 21:00
",Controcorrente S.O.S.,"
Mercoledì 28 Maggio torna la Stand-Up Comedy al @controcorrente_s.o.s , dove saremo tutta l'estate con una rassegna estiva che... Madò 👀

Comedy Show targato Stand Apulia.
Due comici + Tiziano La Bella Special Guest della serata 😱

 Controcorrente, Bisceglie (BT
📞 Prenotazioni al 3453384820
🎟️ Ingresso Gratuito, con obbligo di consumazione di 10€
⚠️ Posti Limitati"
34,🎹 GIOVEDIM Frequenza libera x Non Chiamateci Muse,"29.05.2025 | 18:30 - 22:00
",Frequenza Libera,"
Primo incontro pubblico di Non Chiamateci Muse (progetto barese nato per contrastare la sottorappresentazione delle donne nell'arte e nella musica. 

Start 18.30 
Live acustico di Gea
Dj set di Luna B2B Irene 
E banchetto artistico di Duda

Non mancare :"
35,🎹 MEMORIA VIVA,"25.05.2025 | 19:00 - 23:00
",Parco Marinelli - Terlizzi,"
🎭 I teatranti di ""Vivaio - coltiviamo il teatro in città"" costruiranno un muro per la Palestina con le mattonelle realizzate in uno spettacolo di Usine Baug. Durante un incontro pubblico a cura del Coordinamento per la pace in Palestina.

🎻 Segue un concerto del Cantiere Comune Mediterraneo, focalizzato sulla musica del levante e del nostro mare."
36,🎹 ALT-SOUNDAY // Zhed + Panfocaccia + Phonesex93 ,"25.05.2025 | 20:00
",Le Macerie - Baracche Ribelli,"
🔥 ALT-SOUNDAY 🔥

🏴‍☠️ Questa domenica chiudiamo in bellezza la stagione indoor, prima di passare nell'outdoor estivo, offrendovi una serata domenicale alternativa.

Avremo infatti l'onore di ospitare ZHED polistrumentista one man band dalle qualità uniche che con il suo set ci farà terminare la settimana con un vero e proprio viaggio sonoro ✨

In apertura ci saranno due progetti localz tra i più interessanti attualmente: PANFOCACCIA NOISE EXTRAVAGANZA e PHONESEX93

⚠️ Venite presto che si comincia e si finisce presto ⚠️

Apertura porte ore 20
Start ore 21

ZHED 
noise/post punk/stoner one man band from Chiasso 

PANFOCACCIA NOISE EXTRAVAGANZA
weirdcore from Bari/Barletta

PHONESEX93 
noise ambient from Trani

🔊 prima durante e dopo musica a stare

🍺 area Food & Drink always open

🔔 LE MACERIE BARACCHE RIBELLI è un'area ANTIFASCISTA E... [continua a leggere](https://www.apuliacore.org/evento/26dc93d4-dfe4-446d-8c0c-df380007fab6"
37,📖 Jam Letteraria,"23.05.2025 | 21:00 - 22:30
",Storie Del Vecchio Sud,
